"layer","Banda1","Banda2","Banda3","Banda4","Banda5","Banda6","Banda7","Banda10","Banda11"
17,10188.701171875,9124.37890625,7438.6611328125,6311.25537109375,5693.12255859375,5164.20751953125,5088.3544921875,27994.470703125,25469.353515625
17,10184.470703125,9117.326171875,7433.236328125,6305.5888671875,5689.5810546875,5166.44873046875,5086.451171875,27997.7265625,25467.953125
17,10173.052734375,9108.9443359375,7431.537109375,6303.03759765625,5689.1298828125,5164.07568359375,5087.3876953125,27963.126953125,25455.73828125
17,10161.2001953125,9103.7578125,7432.14794921875,6298.66552734375,5690.60693359375,5166.904296875,5083.71337890625,27991.771484375,25490.048828125
17,10194.890625,9130.0185546875,7448.01611328125,6321.2587890625,5698.06982421875,5166.7568359375,5087.77734375,27999.869140625,25480.787109375
17,10177.7490234375,9121.4306640625,7440.64501953125,6315.72802734375,5691.72119140625,5166.189453125,5090.25,28006.416015625,25470.546875
17,10186.244140625,9108.8955078125,7433.2080078125,6305.27783203125,5687.70458984375,5161.40771484375,5090.19677734375,28009.109375,25472.267578125
17,10177.2802734375,9109.294921875,7430.23828125,6305.076171875,5686.2568359375,5162.3359375,5087.74169921875,27971.0390625,25442.73046875
17,10194.779296875,9126.0810546875,7450.32958984375,6313.9140625,5697.11376953125,5168.67431640625,5091.8564453125,27998.91015625,25479.927734375
17,10186.5048828125,9124.001953125,7447.21337890625,6318.203125,5692.42236328125,5166.537109375,5089.1474609375,28010.388671875,25492.78515625
17,10182.236328125,9110.4951171875,7439.4501953125,6304.32568359375,5688.41845703125,5165.01611328125,5088.59228515625,27994.984375,25484.59375
12,10259.41796875,9404.7900390625,8925.966796875,8327.435546875,17342.341796875,13409.763671875,9515.6806640625,30656.376953125,27295.890625
12,10198.990234375,9317.0654296875,8782.6123046875,8178.06982421875,16485.87890625,13001.47265625,9177.0322265625,30464.7421875,27165.10546875
12,10267.3154296875,9397.33203125,8986.177734375,8350.2275390625,17939.51953125,13049.8408203125,9319.2451171875,30436.875,27158.361328125
17,10192.732421875,9129.53125,7446.06103515625,6317.74365234375,5690.08544921875,5164.12255859375,5093.34423828125,28005.275390625,25489.41015625
17,10199.8271484375,9124.55078125,7439.0263671875,6311.4365234375,5696.33251953125,5167.9150390625,5089.1728515625,28024.734375,25500.59765625
17,10056.591796875,9018.3466796875,7600.3681640625,6427.80859375,6027.3125,5345.12744140625,5201.94677734375,28476.890625,25773.84765625
17,10045.515625,9012.123046875,7563.3779296875,6405.9404296875,5945.041015625,5294.39111328125,5170.8359375,28310.130859375,25671.8125
17,10067.630859375,9024.4765625,7577.25048828125,6419.2138671875,5946.2373046875,5298.62646484375,5174.05517578125,28264.298828125,25615.82421875
17,10078.4736328125,9062.0283203125,7619.80712890625,6465.826171875,5993.1982421875,5340.3837890625,5209.32568359375,28259.9296875,25571.736328125
17,10037.6279296875,9010.8662109375,7554.71142578125,6385.79052734375,5899.14990234375,5259.22412109375,5145.22021484375,28232.080078125,25575.919921875
17,10027.1767578125,8997.8505859375,7542.36083984375,6376.12841796875,5884.0068359375,5250.74560546875,5140.52490234375,28209.15234375,25606.607421875
17,10004.9140625,8977.25,7529.7451171875,6365.697265625,5886.83740234375,5246.47021484375,5136.7099609375,28204.005859375,25587.498046875
17,9989.2763671875,8971.7900390625,7523.15966796875,6358.970703125,5892.93896484375,5248.05029296875,5140.9130859375,28215.791015625,25582.0390625
17,9991.3330078125,8959.46484375,7522.59375,6364.7060546875,5923.55517578125,5264.84619140625,5151.947265625,28245.603515625,25586.69921875
12,10067.890625,9088.90234375,8666.732421875,7545.125,21577.244140625,12877.5859375,8556.1455078125,30613.330078125,27308.173828125
12,10489.8251953125,9678.26171875,9554.1865234375,9043.7333984375,19221.23046875,15745.76171875,11066.162109375,31021.169921875,27561.765625
12,10506.171875,9728.138671875,9650.4619140625,9170.5546875,19209.6171875,15139.978515625,10886.48046875,31283.333984375,27740.775390625
12,10315.908203125,9482.5322265625,9098.947265625,8797.1923828125,16294.6142578125,13721.7998046875,10173.98828125,30998.796875,27503.91015625
12,10280.763671875,9420.01953125,8918.0009765625,8492.8505859375,16367.443359375,13066.5908203125,9591.9736328125,30827.16015625,27440.84375
12,10531.2021484375,9770.2265625,9652.5751953125,9371.8994140625,18974.404296875,14987.162109375,10912.5126953125,30902.162109375,27512.400390625
17,10197.1708984375,9128.09765625,7444.4765625,6311.23681640625,5691.50390625,5165.32958984375,5089.28857421875,28041.17578125,25500.083984375
17,10051.1884765625,9024.05859375,7571.22314453125,6414.6923828125,5953.04736328125,5293.68505859375,5166.490234375,28326.8671875,25693.53515625
17,10037.958984375,9013.474609375,7552.32861328125,6400.9736328125,5909.08251953125,5265.73681640625,5151.81884765625,28230.85546875,25622.537109375
17,10047.30859375,9015.6328125,7555.8125,6402.41259765625,5909.7900390625,5266.751953125,5150.556640625,28226.537109375,25575.435546875
17,10070.1025390625,9038.009765625,7584.64453125,6438.984375,5943.09619140625,5300.12890625,5180.24658203125,28210.482421875,25558.64453125
17,10030.8759765625,8998.01171875,7539.67578125,6381.57958984375,5878.46142578125,5242.43798828125,5134.88232421875,28212.35546875,25586.1796875
17,10013.271484375,8987.3740234375,7527.4033203125,6370.69091796875,5864.57421875,5234.021484375,5130.904296875,28193.927734375,25589.384765625
17,10000.498046875,8976.7216796875,7519.77490234375,6371.27099609375,5878.8759765625,5242.28271484375,5130.8369140625,28207.576171875,25596.232421875
17,9992.2197265625,8965.1181640625,7518.09619140625,6361.552734375,5880.46728515625,5235.18115234375,5131.53076171875,28217.40234375,25573.15625
17,9975.794921875,8952.7705078125,7509.07861328125,6357.677734375,5898.185546875,5247.52880859375,5136.08984375,28204.26171875,25553.8671875
12,10270.271484375,9406.486328125,8877.2724609375,8675.8818359375,14966.2392578125,12468.9033203125,9500.541015625,32350.974609375,28392.7109375
12,10248.779296875,9376.0205078125,8872.4658203125,8422.62890625,15952.078125,13210.1396484375,9734.6318359375,32131.603515625,28242.42578125
12,10627.3154296875,9900.76171875,9677.9365234375,9605.5771484375,18246.265625,16435.93359375,11771.103515625,31986.365234375,28145.11328125
12,10638.4013671875,9912.3154296875,9905.767578125,9594.2109375,20518.8359375,16141.8603515625,11524.8681640625,31338.5703125,27766.634765625
12,10185.3916015625,9259.6796875,8857.9716796875,8098.3125,19568.25390625,13639.080078125,9441.3583984375,30734.19921875,27376.271484375
